Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
0.0100,GROUND,8.3126,-1.1768,9.4928,-1.4122,-1.3900,9.7200,-0.4100,-0.0200,0.0100,-0.2600,264.0000,-7.9375,-90.8750,-1.3600,9.7100,-0.1400,-0.9141,-2.5433,7.7848,-7.9375
0.0354,GROUND,6.8751,-0.3138,8.6299,1.6867,0.0600,14.6000,0.4800,1.6800,9.6200,0.4700,264.0000,-7.9375,-90.8750,-1.3600,9.7100,-0.1500,-1.0556,-2.7159,7.1399,-7.9375
0.0706,GROUND,4.0626,-5.2564,19.4172,0.8238,1.1000,39.8000,2.3800,1.6800,9.6200,0.4700,264.0000,-7.9375,-90.8750,-1.3400,9.7100,-0.1400,5.5382,-2.5201,5.1805,-7.9375
0.1017,GROUND,8.6251,2.0790,84.4549,5.7663,-0.2800,39.8000,0.3200,1.0400,30.0800,0.4900,264.1250,-7.6875,-90.9375,-1.3000,9.7100,-0.1700,48.2592,0.1015,7.3246,-7.6875
0.1376,GROUND,9.3126,-2.0006,86.2593,5.6486,-7.4300,39.8000,3.1600,3.8800,30.0700,3.0300,263.3750,-7.3750,-91.0625,-1.2600,9.7200,-0.1900,65.7056,2.9270,8.5862,-7.3750
0.1713,GROUND,10.5627,10.5520,73.9814,4.1188,0.7000,39.8000,2.1400,1.9100,30.0700,2.3600,262.1875,-7.0625,-91.2500,-1.2000,9.7200,-0.2100,64.7821,5.8832,9.8815,-7.0625
0.2042,GROUND,11.2502,-4.5503,98.6941,-4.7464,1.1300,39.8000,3.1700,2.3100,30.0600,3.4000,261.5000,-6.9375,-91.3125,-1.1800,9.7300,-0.2300,79.7024,9.1498,10.8516,-6.9375
0.2406,GROUND,12.0002,4.6680,88.2599,2.9420,1.3500,39.8000,-2.8700,2.5900,30.0700,-2.6500,262.1250,-7.2500,-91.2500,-1.2400,9.7200,-0.2100,78.9526,12.5737,11.7358,-7.2500
0.2759,GROUND,12.6252,-5.0210,87.5145,-1.6083,0.7600,39.8000,0.1400,2.0900,30.0800,0.3400,263.0000,-7.8125,-91.1250,-1.3600,9.7000,-0.1800,78.2055,15.8944,12.5120,-7.8125
0.3091,GROUND,11.1252,-12.1210,88.0245,4.0796,1.2300,39.8000,-1.7000,3.7100,30.1000,6.4000,264.7500,-8.5000,-90.9375,-1.4500,9.6900,-0.1600,78.2349,18.6286,11.9191,-8.5000
0.3445,GROUND,13.9377,2.6674,88.0637,6.2370,-0.7100,39.8000,2.1800,0.8100,30.1100,2.3100,266.1250,-8.8750,-90.7500,-1.4500,9.6900,-0.1600,78.2709,22.1668,13.4938,-8.8750
0.3795,GROUND,14.0627,-2.3536,93.9085,1.4906,-3.1500,39.8000,1.9300,0.4900,30.1300,1.7600,268.8125,-9.5625,-90.3750,-1.6300,9.6600,-0.0700,81.8967,25.3781,14.2192,-9.5625
0.4134,GROUND,14.3752,-6.0017,91.8687,0.0000,-0.7300,39.8000,2.8000,1.0000,30.1400,2.8200,270.8125,-10.1875,-90.0625,-1.7300,9.6500,-0.0200,82.0208,28.4821,14.7362,-10.1875
0.4497,GROUND,16.1877,-1.8437,93.4770,0.7453,-1.5600,39.8000,3.4400,1.0000,30.1400,2.8200,273.8125,-11.1250,-89.6250,-1.8900,9.6200,0.0500,83.0625,31.9637,16.1118,-11.1250
0.4832,GROUND,18.3753,0.3923,95.4775,1.7260,-1.5600,39.8000,3.4400,0.3900,30.2000,0.8500,276.3125,-11.9375,-89.1875,-2.0200,9.5900,0.1300,84.6968,35.7332,18.0510,-11.9375
0.5151,GROUND,20.3753,-0.1569,96.1052,2.2751,-1.5600,39.8000,3.4400,0.3900,30.2000,0.8500,278.9375,-12.8125,-88.6250,-2.1700,9.5500,0.2200,85.7090,39.5328,20.0866,-12.8125
0.5486,GROUND,21.7503,-2.1967,93.2416,0.8630,-1.3300,39.8000,2.1400,-0.1800,30.2900,1.2200,282.7500,-14.0625,-87.8125,-2.3800,9.5000,0.3600,84.3257,43.0228,21.7656,-14.0625
0.5843,GROUND,23.0004,-2.0398,95.2030,0.9414,-1.7300,39.8000,1.0500,0.8100,30.3400,0.5700,285.8750,-15.0625,-87.0000,-2.5500,9.4500,0.4800,85.0094,46.2896,23.2298,-15.0625
0.6176,GROUND,26.6254,-1.8829,97.4781,0.7061,-0.6500,39.8000,1.3400,2.0600,30.4000,0.7100,290.3750,-16.4375,-85.8125,-2.7700,9.3700,0.6800,86.6771,50.4081,26.1022,-16.4375
0.6539,GROUND,27.7504,-0.3923,97.1643,0.0000,-1.6700,39.8000,0.7700,1.2700,30.4800,-0.0800,294.1250,-17.4375,-84.6875,-2.9400,9.3100,0.8600,87.1197,53.7918,27.9397,-17.4375
0.6893,GROUND,29.9380,-0.4707,97.2427,-0.0392,-0.8200,39.8000,0.6300,2.2800,30.5600,-0.4300,298.0625,-18.4375,-83.3750,-3.1500,9.2100,1.1400,87.3373,57.2697,30.0488,-18.4375
0.7225,GROUND,32.6255,-0.9807,97.8704,-0.1961,-0.3000,39.8000,-0.3200,2.9000,30.6600,-1.8300,303.7500,-19.6250,-81.3750,-3.2900,9.1300,1.3800,87.8084,60.9503,32.5756,-19.6250
0.7569,GROUND,33.8130,-0.7061,99.0864,-1.2160,-0.0900,39.8000,-0.3800,3.3100,30.7500,-2.0400,308.3125,-20.3125,-79.6250,-3.4400,9.0100,1.7500,88.7396,63.9960,34.3173,-20.3125
0.7929,GROUND,38.4381,-1.3337,98.4980,-2.4320,-0.1000,39.8000,-1.0000,3.6900,30.8700,-2.5700,314.8750,-20.8750,-76.8750,-3.5000,8.9200,2.0700,88.7322,68.3052,37.9186,-20.8750
0.8267,GROUND,39.5631,-0.1961,99.3218,-0.2354,0.4400,39.8000,-0.7700,3.9500,30.9600,-3.1900,320.1250,-20.9375,-74.6250,-3.5100,8.8300,2.4200,89.2380,71.3953,40.0276,-20.9375
0.8598,GROUND,43.3132,0.6276,99.7925,-0.9414,0.6400,39.8000,-1.1100,4.1100,31.0600,-3.9000,327.1875,-20.5000,-71.4375,-3.4300,8.7100,2.9100,89.7224,75.2202,43.2179,-20.5000
0.8957,GROUND,45.5007,1.7260,98.7334,-1.6867,0.7600,39.8000,-1.7700,4.1100,31.0600,-3.9000,332.5000,-19.6875,-69.0625,-3.3000,8.6200,3.2900,89.2526,78.4809,45.8379,-19.6875
0.9310,GROUND,50.2508,1.5691,100.5378,-2.1182,0.7600,39.8000,325.4200,3.8700,31.2500,-5.9200,337.9375,-18.4375,-66.7500,-3.0200,8.5200,3.7900,90.1887,82.7363,49.8468,-18.4375
