Time,State,Altitude,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_Z,Linear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z,Kalman_Acceleration,Kalman_Velocity,Kalman_Altitude,Orientation(Beta)
0.0100,GROUND,8.3126,-1.1768,9.4928,-1.4122,-1.3900,9.7200,-0.4100,-0.0200,0.0100,-0.2600,264.0000,-7.9375,-90.8750,-1.3600,9.7100,-0.1400,-0.9135,-2.5432,7.7852,-7.9375
0.0354,GROUND,6.8751,-0.3138,8.6299,1.6867,0.0600,14.6000,0.4800,1.6800,9.6200,0.4700,264.0000,-7.9375,-90.8750,-1.3600,9.7100,-0.1500,-1.0553,-2.7160,7.1400,-7.9375
0.0706,GROUND,4.0626,-5.2564,19.4172,0.8238,1.1000,39.8000,2.3800,1.6800,9.6200,0.4700,264.0000,-7.9375,-90.8750,-1.3400,9.7100,-0.1400,5.5383,-2.5203,5.1805,-7.9375
0.1017,GROUND,8.6251,2.0790,84.4549,5.7663,-0.2800,39.8000,0.3200,1.0400,30.0800,0.4900,264.1250,-7.6875,-90.9375,-1.3000,9.7100,-0.1700,48.2593,0.1052,7.3246,-7.6875
0.1376,GROUND,9.3126,-2.0006,86.2593,5.6486,-7.4300,39.8000,3.1600,3.8800,30.0700,3.0300,263.3750,-7.3750,-91.0625,-1.2600,9.7200,-0.1900,65.7056,2.9407,8.5865,-7.3750
0.1713,GROUND,10.5627,10.5520,73.9814,4.1188,0.7000,39.8000,2.1400,1.9100,30.0700,2.3600,262.1875,-7.0625,-91.2500,-1.2000,9.7200,-0.2100,64.7821,5.9036,9.8820,-7.0625
0.2042,GROUND,11.2502,-4.5503,98.6941,-4.7464,1.1300,39.8000,3.1700,2.3100,30.0600,3.4000,261.5000,-6.9375,-91.3125,-1.1800,9.7300,-0.2300,79.7024,9.1745,10.8524,-6.9375
0.2406,GROUND,12.0002,4.6680,88.2599,2.9420,1.3500,39.8000,-2.8700,2.5900,30.0700,-2.6500,262.1250,-7.2500,-91.2500,-1.2400,9.7200,-0.2100,78.9526,12.5839,11.7356,-7.2500
0.2759,GROUND,12.6252,-5.0210,87.5145,-1.6083,0.7600,39.8000,0.1400,2.0900,30.0800,0.3400,263.0000,-7.8125,-91.1250,-1.3600,9.7000,-0.1800,78.2055,15.8930,12.5112,-7.8125
0.3091,GROUND,11.1252,-12.1210,88.0245,4.0796,1.2300,39.8000,-1.7000,3.7100,30.1000,6.4000,264.7500,-8.5000,-90.9375,-1.4500,9.6900,-0.1600,78.2349,18.6498,11.9211,-8.5000
0.3445,GROUND,13.9377,2.6674,88.0637,6.2370,-0.7100,39.8000,2.1800,0.8100,30.1100,2.3100,266.1250,-8.8750,-90.7500,-1.4500,9.6900,-0.1600,78.2709,22.2069,13.4969,-8.8750
0.3795,GROUND,14.0627,-2.3536,93.9085,1.4906,-3.1500,39.8000,1.9300,0.4900,30.1300,1.7600,268.8125,-9.5625,-90.3750,-1.6300,9.6600,-0.0700,81.8967,25.4297,14.2227,-9.5625
0.4134,GROUND,14.3752,-6.0017,91.8687,0.0000,-0.7300,39.8000,2.8000,1.0000,30.1400,2.8200,270.8125,-10.1875,-90.0625,-1.7300,9.6500,-0.0200,82.0208,28.5288,14.7379,-10.1875
0.4497,GROUND,16.1877,-1.8437,93.4770,0.7453,-1.5600,39.8000,3.4400,1.0000,30.1400,2.8200,273.8125,-11.1250,-89.6250,-1.8900,9.6200,0.0500,83.0625,32.0054,16.1125,-11.1250
0.4832,GROUND,18.3753,0.3923,95.4775,1.7260,-1.5600,39.8000,3.4400,0.3900,30.2000,0.8500,276.3125,-11.9375,-89.1875,-2.0200,9.5900,0.1300,84.6968,35.7686,18.0509,-11.9375
0.5151,GROUND,20.3753,-0.1569,96.1052,2.2751,-1.5600,39.8000,3.4400,0.3900,30.2000,0.8500,278.9375,-12.8125,-88.6250,-2.1700,9.5500,0.2200,85.7090,39.5651,20.0867,-12.8125
0.5486,GROUND,21.7503,-2.1967,93.2416,0.8630,-1.3300,39.8000,2.1400,-0.1800,30.2900,1.2200,282.7500,-14.0625,-87.8125,-2.3800,9.5000,0.3600,84.3257,43.0527,21.7657,-14.0625
0.5843,GROUND,23.0004,-2.0398,95.2030,0.9414,-1.7300,39.8000,1.0500,0.8100,30.3400,0.5700,285.8750,-15.0625,-87.0000,-2.5500,9.4500,0.4800,85.0094,46.3224,23.2312,-15.0625
0.6176,GROUND,26.6254,-1.8829,97.4781,0.7061,-0.6500,39.8000,1.3400,2.0600,30.4000,0.7100,290.3750,-16.4375,-85.8125,-2.7700,9.3700,0.6800,86.6771,50.4359,26.1022,-16.4375
0.6539,GROUND,27.7504,-0.3923,97.1643,0.0000,-1.6700,39.8000,0.7700,1.2700,30.4800,-0.0800,294.1250,-17.4375,-84.6875,-2.9400,9.3100,0.8600,87.1197,53.8186,27.9400,-17.4375
0.6893,LAUNCHED,29.9380,-0.4707,97.2427,-0.0392,-0.8200,39.8000,0.6300,2.2800,30.5600,-0.4300,298.0625,-18.4375,-83.3750,-3.1500,9.2100,1.1400,87.3373,57.2988,30.0504,-18.4375
0.7225,LAUNCHED,32.6255,-0.9807,97.8704,-0.1961,-0.3000,39.8000,-0.3200,2.9000,30.6600,-1.8300,303.7500,-19.6250,-81.3750,-3.2900,9.1300,1.3800,87.8084,60.9778,32.5764,-19.6250
0.7569,LAUNCHED,33.8130,-0.7061,99.0864,-1.2160,-0.0900,39.8000,-0.3800,3.3100,30.7500,-2.0400,308.3125,-20.3125,-79.6250,-3.4400,9.0100,1.7500,88.7396,64.0186,34.3161,-20.3125
0.7929,LAUNCHED,38.4381,-1.3337,98.4980,-2.4320,-0.1000,39.8000,-1.0000,3.6900,30.8700,-2.5700,314.8750,-20.8750,-76.8750,-3.5000,8.9200,2.0700,88.7322,68.3265,37.9181,-20.8750
0.8267,LAUNCHED,39.5631,-0.1961,99.3218,-0.2354,0.4400,39.8000,-0.7700,3.9500,30.9600,-3.1900,320.1250,-20.9375,-74.6250,-3.5100,8.8300,2.4200,89.2380,71.4218,40.0307,-20.9375
0.8598,LAUNCHED,43.3132,0.6276,99.7925,-0.9414,0.6400,39.8000,-1.1100,4.1100,31.0600,-3.9000,327.1875,-20.5000,-71.4375,-3.4300,8.7100,2.9100,89.7224,75.2438,43.2190,-20.5000
0.8957,LAUNCHED,45.5007,1.7260,98.7334,-1.6867,0.7600,39.8000,-1.7700,4.1100,31.0600,-3.9000,332.5000,-19.6875,-69.0625,-3.3000,8.6200,3.2900,89.2526,78.4989,45.8357,-19.6875
0.9310,LAUNCHED,50.2508,1.5691,100.5378,-2.1182,0.7600,39.8000,325.4200,3.8700,31.2500,-5.9200,337.9375,-18.4375,-66.7500,-3.0200,8.5200,3.7900,90.1887,82.7535,49.8456,-18.4375
0.9644,LAUNCHED,53.5008,3.4519,101.6361,-2.5890,0.9600,39.8000,-1.8400,4.0000,31.3400,-6.9400,345.2500,-16.0625,-63.7500,-3.0200,8.5200,3.7900,91.2249,86.5855,53.4421,-16.0625
0.9976,LAUNCHED,55.8134,-1.1376,101.2831,-3.3343,0.5400,39.8000,-3.1500,2.8600,31.3900,-7.6500,350.9375,-13.6250,-61.8125,-2.3100,8.4000,4.4900,91.4023,89.7006,56.2871,-13.6250
1.0336,LAUNCHED,59.8759,-1.7652,101.3223,-3.2166,0.3600,39.8000,-3.2600,2.8600,31.3900,-7.6500,358.6250,-9.8125,-59.7500,-1.6700,8.3500,4.8600,91.4944,93.3770,59.9472,-9.8125
1.0659,LAUNCHED,62.3760,0.6276,101.1262,-3.7265,-0.9600,39.8000,-2.8700,0.1600,31.4700,-7.9200,4.4375,-6.5625,-58.7500,-1.1200,8.3200,5.0500,91.4082,96.3617,62.9309,-6.5625
1.1013,LAUNCHED,66.5010,-0.5099,99.9886,-2.5105,-0.6800,39.8000,-3.6100,-0.1300,31.4700,-8.7700,12.4375,-2.0000,-58.1250,-0.3400,8.3200,5.1600,90.6724,99.8608,66.6821,-2.0000
1.1371,LAUNCHED,70.0636,-1.8829,100.1455,-5.6094,-0.7300,39.8000,-3.3100,-0.9800,31.4500,-8.4600,18.6250,1.4375,-58.3125,0.2400,8.3400,5.1400,90.4882,103.1614,70.3672,1.4375
1.1706,LAUNCHED,71.5636,-2.8635,101.0477,-3.0597,-1.3900,39.8000,-3.6000,-2.2200,31.4100,-8.6200,27.0625,5.9375,-59.3750,0.2400,8.3400,5.1400,90.9750,105.2060,72.7202,5.9375
1.2061,LAUNCHED,73.3761,1.0199,100.5378,-2.4713,-0.5200,39.8000,-2.8600,-2.0700,31.3400,-7.5800,33.6250,9.0625,-60.8125,1.5500,8.4500,4.7200,90.8457,106.8988,74.7633,9.0625
1.2419,LAUNCHED,78.0637,1.8437,101.0477,-2.5890,-0.2000,39.8000,-3.4700,-2.2300,31.2700,-7.8700,40.4375,11.9375,-62.6875,2.1700,8.5500,4.2700,91.1120,109.9991,78.5016,11.9375
1.2760,LAUNCHED,79.6262,2.8243,100.1063,-4.1972,-0.3500,39.8000,-3.0600,-2.1400,31.1600,-6.9500,49.9375,15.2500,-65.9375,2.5800,8.6300,3.8500,90.6314,111.8070,80.9134,15.2500
1.3106,LAUNCHED,82.5638,1.8829,103.3621,-3.9619,2.0200,39.8000,-2.5900,-0.8900,31.0600,-5.9600,57.5000,17.3125,-68.8750,3.0100,8.7600,3.1900,92.4601,113.8917,83.6918,17.3125
1.3469,LAUNCHED,93.1889,6.5901,100.8908,-3.0989,2.7800,39.8000,-2.7200,-0.9100,30.9300,-6.3700,68.0625,19.3125,-73.3750,3.2500,8.8600,2.6400,91.6328,120.3611,91.4644,19.3125
1.3815,LAUNCHED,95.6890,6.0801,102.1461,-3.8442,2.7800,39.8000,-2.7200,-0.5800,30.8300,-5.4600,76.3750,20.3125,-77.0625,3.2500,8.8600,2.6400,92.0915,123.6917,95.9998,20.3125
1.4124,LAUNCHED,102.8141,-0.4707,100.1847,-4.3149,4.6200,39.8000,-3.7800,1.1400,30.7400,-5.2000,88.1875,20.7500,-82.3750,3.4700,9.0800,1.2000,91.0550,128.3968,102.2152,20.7500
